initial_epoch,model,dataset,k,accuracy
145,ResNet32,CIFAR10,1,0.9361
146,ResNet32,CIFAR10,1,0.9378
147,ResNet32,CIFAR10,1,0.9378
148,ResNet32,CIFAR10,1,0.9382
149,ResNet32,CIFAR10,1,0.9367
150,ResNet32,CIFAR10,1,0.9367
151,ResNet32,CIFAR10,1,0.9371
152,ResNet32,CIFAR10,1,0.9381
153,ResNet32,CIFAR10,1,0.9365
154,ResNet32,CIFAR10,1,0.9368
155,ResNet32,CIFAR10,1,0.9375
156,ResNet32,CIFAR10,1,0.9366
157,ResNet32,CIFAR10,1,0.9386
158,ResNet32,CIFAR10,1,0.9375
159,ResNet32,CIFAR10,1,0.9386
160,ResNet32,CIFAR10,1,0.9385
161,ResNet32,CIFAR10,1,0.9371
162,ResNet32,CIFAR10,1,0.9376
163,ResNet32,CIFAR10,1,0.9379
164,ResNet32,CIFAR10,1,0.938
165,ResNet32,CIFAR10,1,0.9373
166,ResNet32,CIFAR10,1,0.9374
167,ResNet32,CIFAR10,1,0.9364
168,ResNet32,CIFAR10,1,0.9369
169,ResNet32,CIFAR10,1,0.9375
170,ResNet32,CIFAR10,1,0.9379
171,ResNet32,CIFAR10,1,0.9379
172,ResNet32,CIFAR10,1,0.9375
173,ResNet32,CIFAR10,1,0.9375
174,ResNet32,CIFAR10,1,0.9373
175,ResNet32,CIFAR10,1,0.9378
176,ResNet32,CIFAR10,1,0.9396
177,ResNet32,CIFAR10,1,0.9373
178,ResNet32,CIFAR10,1,0.9371
179,ResNet32,CIFAR10,1,0.9357
180,ResNet32,CIFAR10,1,0.9383
181,ResNet32,CIFAR10,1,0.9377
182,ResNet32,CIFAR10,1,0.9371
183,ResNet32,CIFAR10,1,0.9379
184,ResNet32,CIFAR10,1,0.9393
185,ResNet32,CIFAR10,1,0.9387
186,ResNet32,CIFAR10,1,0.9378
187,ResNet32,CIFAR10,1,0.9379
188,ResNet32,CIFAR10,1,0.9381
189,ResNet32,CIFAR10,1,0.9384
190,ResNet32,CIFAR10,1,0.9394
191,ResNet32,CIFAR10,1,0.9377
192,ResNet32,CIFAR10,1,0.9371
193,ResNet32,CIFAR10,1,0.9389
194,ResNet32,CIFAR10,1,0.937
195,ResNet32,CIFAR10,1,0.9361
196,ResNet32,CIFAR10,1,0.9398
197,ResNet32,CIFAR10,1,0.9385
198,ResNet32,CIFAR10,1,0.9374
199,ResNet32,CIFAR10,1,0.9385
0,ResNet86,CIFAR10,1,0.9352
1,ResNet86,CIFAR10,1,0.9379
2,ResNet86,CIFAR10,1,0.939
3,ResNet86,CIFAR10,1,0.9375
4,ResNet86,CIFAR10,1,0.9355
5,ResNet86,CIFAR10,1,0.9402
6,ResNet86,CIFAR10,1,0.9349
7,ResNet86,CIFAR10,1,0.9385
8,ResNet86,CIFAR10,1,0.9368
9,ResNet86,CIFAR10,1,0.9412
10,ResNet86,CIFAR10,1,0.9354
11,ResNet86,CIFAR10,1,0.9354
12,ResNet86,CIFAR10,1,0.9352
13,ResNet86,CIFAR10,1,0.9378
14,ResNet86,CIFAR10,1,0.9392
15,ResNet86,CIFAR10,1,0.9395
16,ResNet86,CIFAR10,1,0.9394
17,ResNet86,CIFAR10,1,0.939
18,ResNet86,CIFAR10,1,0.9395
19,ResNet86,CIFAR10,1,0.9362
20,ResNet86,CIFAR10,1,0.9406
21,ResNet86,CIFAR10,1,0.9376
22,ResNet86,CIFAR10,1,0.9365
23,ResNet86,CIFAR10,1,0.9392
24,ResNet86,CIFAR10,1,0.9388
25,ResNet86,CIFAR10,1,0.9392
26,ResNet86,CIFAR10,1,0.939
27,ResNet86,CIFAR10,1,0.9395
28,ResNet86,CIFAR10,1,0.9397
29,ResNet86,CIFAR10,1,0.9405
30,ResNet86,CIFAR10,1,0.9402
31,ResNet86,CIFAR10,1,0.941
32,ResNet86,CIFAR10,1,0.9397
33,ResNet86,CIFAR10,1,0.9415
34,ResNet86,CIFAR10,1,0.9377
35,ResNet86,CIFAR10,1,0.9419
36,ResNet86,CIFAR10,1,0.9404
37,ResNet86,CIFAR10,1,0.9382
38,ResNet86,CIFAR10,1,0.9368
39,ResNet86,CIFAR10,1,0.9418
40,ResNet86,CIFAR10,1,0.9404
41,ResNet86,CIFAR10,1,0.9414
42,ResNet86,CIFAR10,1,0.9403
43,ResNet86,CIFAR10,1,0.9404
44,ResNet86,CIFAR10,1,0.9407
45,ResNet86,CIFAR10,1,0.9395
46,ResNet86,CIFAR10,1,0.9413
47,ResNet86,CIFAR10,1,0.9421
48,ResNet86,CIFAR10,1,0.943
49,ResNet86,CIFAR10,1,0.9422
50,ResNet86,CIFAR10,1,0.9415
51,ResNet86,CIFAR10,1,0.941
52,ResNet86,CIFAR10,1,0.9435
53,ResNet86,CIFAR10,1,0.9398
54,ResNet86,CIFAR10,1,0.9409
55,ResNet86,CIFAR10,1,0.9413
56,ResNet86,CIFAR10,1,0.9402
57,ResNet86,CIFAR10,1,0.9418
58,ResNet86,CIFAR10,1,0.9402
59,ResNet86,CIFAR10,1,0.9397
60,ResNet86,CIFAR10,1,0.9424
61,ResNet86,CIFAR10,1,0.9421
62,ResNet86,CIFAR10,1,0.9407
63,ResNet86,CIFAR10,1,0.9429
64,ResNet86,CIFAR10,1,0.9391
65,ResNet86,CIFAR10,1,0.942
66,ResNet86,CIFAR10,1,0.9433
67,ResNet86,CIFAR10,1,0.9432
68,ResNet86,CIFAR10,1,0.9423
69,ResNet86,CIFAR10,1,0.9424
