epoch,min_cosine_distance,avg_cosine_distance,max_cosine_distance,median_cosine_distance,min_cosine_similarity,avg_cosine_similarity,max_cosine_similarity,median_cosine_similarity
0,0.00039370174629571597,0.0035046957687207454,0.02383270619815825,0.0030547683198411946,0.9761672938018418,0.9964953042312793,0.9996062982537043,0.9969452316801588
1,0.06859935904462522,0.2526908335398877,0.8372082637782277,0.2375949349458426,0.16279173622177234,0.7473091664601124,0.9314006409553748,0.7624050650541574
2,0.06543524815251711,0.21145253878476555,0.686447100222725,0.1971358621480036,0.31355289977727496,0.7885474612152344,0.9345647518474829,0.8028641378519964
3,0.13368931597399314,0.5061933362124017,1.2236095858897458,0.4912397176811997,-0.22360958588974578,0.4938066637875983,0.8663106840260069,0.5087602823188003
4,0.07283697058505123,0.2732484891706229,0.9715255328295169,0.2535637158593774,0.028474467170483075,0.7267515108293772,0.9271630294149488,0.7464362841406226
5,0.024562664714888438,0.24026665685370394,0.8834193331813998,0.21181070861184292,0.11658066681860024,0.759733343146296,0.9754373352851116,0.7881892913881571
6,0.11483021832029561,0.3464974903065809,0.8925343446297537,0.3342808781898169,0.10746565537024633,0.653502509693419,0.8851697816797044,0.6657191218101831
7,0.20337873858269528,0.6483987816004793,1.3161993166071722,0.6346722425131668,-0.31619931660717215,0.35160121839952074,0.7966212614173047,0.3653277574868332
8,0.16042061404763142,0.39363943498064996,0.9775743226071835,0.38198084149822165,0.022425677392816534,0.60636056501935,0.8395793859523686,0.6180191585017784
9,0.02840318382325302,0.314575566879054,1.1508689329979715,0.27686425133692794,-0.15086893299797155,0.685424433120946,0.971596816176747,0.7231357486630721
10,0.04440670582094075,0.39651157866084374,1.2389795887276644,0.37879758701628763,-0.23897958872766445,0.6034884213391563,0.9555932941790592,0.6212024129837124
11,0.09040604558418464,0.6015271307328979,1.2767887700417568,0.5957760568161294,-0.27678877004175684,0.3984728692671021,0.9095939544158154,0.40422394318387056
12,0.1683583131962555,0.6255069816523654,1.4736596858727318,0.6180660419818869,-0.4736596858727318,0.3744930183476346,0.8316416868037445,0.38193395801811314
13,0.2364373737890565,0.5453551371187698,1.2319201621093436,0.5336118903013325,-0.23192016210934363,0.4546448628812302,0.7635626262109435,0.4663881096986675
14,0.03603665854237248,0.4872765111810943,1.2322403910453201,0.49039057828412935,-0.23224039104532013,0.5127234888189057,0.9639633414576275,0.5096094217158706
15,0.18888196864798235,0.6587430365811471,1.3058737190140661,0.6523342476027388,-0.3058737190140661,0.3412569634188529,0.8111180313520177,0.34766575239726116
16,0.11806775815030945,0.32791031737490794,0.9443483296514614,0.313428994420336,0.05565167034853857,0.672089682625092,0.8819322418496905,0.686571005579664
17,0.0029451062820426976,0.01753988337015751,0.10263864326203731,0.015519644223895401,0.8973613567379627,0.9824601166298425,0.9970548937179573,0.9844803557761046
18,0.027491019409041417,0.39230668867795676,1.4519937590747014,0.35462356625087166,-0.4519937590747014,0.6076933113220433,0.9725089805909586,0.6453764337491283
19,0.17192265547852847,0.6489300441225807,1.3774702387241662,0.6411749050223573,-0.3774702387241662,0.3510699558774193,0.8280773445214715,0.3588250949776427
20,0.3738490870033784,0.7945152856841989,1.3432120318248568,0.7886619207089034,-0.3432120318248568,0.20548471431580106,0.6261509129966216,0.2113380792910966
21,0.15072415552243157,0.459724816704434,1.1683442892398777,0.4475722636914268,-0.16834428923987765,0.540275183295566,0.8492758444775684,0.5524277363085732
22,0.14860058109521035,0.3012041249200629,0.632631635304042,0.2948216665867113,0.367368364695958,0.6987958750799371,0.8513994189047897,0.7051783334132887
23,0.23713823551429736,0.5701879269071652,1.1460886702338897,0.5617448910320361,-0.14608867023388972,0.42981207309283476,0.7628617644857026,0.43825510896796394
24,0.191510436515139,0.5217198489098274,1.0850918880029181,0.5107683692348749,-0.08509188800291811,0.47828015109017263,0.808489563484861,0.4892316307651251
25,0.040349075972069826,0.5631456510056887,1.2506084092575098,0.5576512586861011,-0.2506084092575098,0.4368543489943113,0.9596509240279302,0.4423487413138989
26,0.27767288319433014,0.6203999029288647,1.2766898451403947,0.6091297480320754,-0.27668984514039474,0.3796000970711353,0.7223271168056699,0.3908702519679246
27,0.21442094664860945,0.49624822424084536,1.1540617508324353,0.4862125446028659,-0.15406175083243534,0.5037517757591546,0.7855790533513906,0.5137874553971341
28,0.18543921905800276,0.4773399442448606,1.0272556549407255,0.4676958202565207,-0.02725565494072546,0.5226600557551394,0.8145607809419972,0.5323041797434793
29,0.2992422274270893,0.6315310010306375,1.2847779949322364,0.6249936962381466,-0.28477799493223643,0.36846899896936247,0.7007577725729107,0.3750063037618534
30,0.18145185735803726,0.4942492338762335,0.9505629349112029,0.48455186019679153,0.04943706508879708,0.5057507661237666,0.8185481426419627,0.5154481398032085
31,0.3670276532391782,0.7435245526547835,1.1969057459067556,0.7410503760142861,-0.19690574590675558,0.25647544734521655,0.6329723467608218,0.25894962398571386
32,0.20447036733549973,0.47103201100031655,1.0209261935487135,0.45962442811867577,-0.0209261935487135,0.5289679889996834,0.7955296326645003,0.5403755718813242
33,0.3048497198217488,0.6487287122310337,1.2002052800719212,0.6419980235486007,-0.20020528007192118,0.3512712877689663,0.6951502801782512,0.3580019764513993
34,0.19485179747603187,0.44465787675665397,0.9602318232486037,0.4345471557100995,0.03976817675139632,0.555342123243346,0.8051482025239681,0.5654528442899005
35,0.3133464336839922,0.6720169473863558,1.1770262144549308,0.6662399572454377,-0.17702621445493083,0.32798305261364424,0.6866535663160078,0.3337600427545623
36,0.306665343587034,0.6817373029113066,1.2425522329722551,0.6765150578729214,-0.24255223297225514,0.31826269708869337,0.693334656412966,0.32348494212707857
37,0.3207927662571126,0.6813319683269198,1.2148880219698237,0.6770244850482732,-0.2148880219698237,0.3186680316730802,0.6792072337428874,0.3229755149517268
38,0.17835456567876007,0.45071554817235626,0.9667114487696776,0.4397955330523885,0.03328855123032237,0.5492844518276437,0.8216454343212399,0.5602044669476115
39,0.21550292986430386,0.4602471095972198,0.8619885270887934,0.45364200783294784,0.13801147291120663,0.5397528904027802,0.7844970701356961,0.5463579921670522
40,0.15894755475161548,0.4136082159106945,0.820764189731757,0.40538851450769287,0.17923581026824298,0.5863917840893055,0.8410524452483845,0.5946114854923071
41,0.20327495626556025,0.45496870831166175,0.9561622379307234,0.44818293369553786,0.04383776206927659,0.5450312916883382,0.7967250437344398,0.5518170663044621
42,0.28996034434269924,0.604208139356065,1.0913571283853474,0.5987890768487163,-0.09135712838534737,0.395791860643935,0.7100396556573008,0.4012109231512837
